State,Airport Name,Loc ID,Associated City,County,Enplanements,,,,,,,,,,,,,,
AL,Birmingham-Shuttlesworth International,BHM,Birmingham,Jefferson,"1,325,897",,,,,,,,,,,,,,
AL,Huntsville International-Carl T Jones Field,HSV,Huntsville,Madison,"519,785",,,,,,,,,,,,,,
AL,Mobile Regional,MOB,Mobile,Mobile,"278,053",,,,,,,,,,,,,,
AL,Montgomery Regional (Dannelly Field),MGM,Montgomery,Montgomery,"175,619",,,,,,,,,,,,,,
AL,Dothan Regional,DHN,Dothan,Dale,"46,792",,,,,,,,,,,,,,
AR,Bill and Hillary Clinton National/Adams Field,LIT,Little Rock,Pulaski,"958,510",,,,,,,,,,,,,,
AR,Northwest Arkansas Regional,XNA,Bentonville,Benton,"629,905",,,,,,,,,,,,,,
AR,Fort Smith Regional,FSM,Fort Smith,Sebastian,"84,136",,,,,,,,,,,,,,
AR,Texarkana Regional-Webb Field,TXK,Texarkana,Miller,"34,881",,,,,,,,,,,,,,
AR,Jonesboro Municipal,JBR,Jonesboro,Craighead,"4,836",,,,,,,,,,,,,,
AR,Boone County,HRO,Harrison,Boone,"4,370",,,,,,,,,,,,,,
AR,South Arkansas Regional at Goodwin Field,ELD,El Dorado,Union,"3,919",,,,,,,,,,,,,,
AR,Memorial Field,HOT,Hot Springs,Garland,"2,834",,,,,,,,,,,,,,
AS,Pago Pago International,PPG,Pago Pago,American Samoa,"65,860",,,,,,,,,,,,,,
AZ,Phoenix Sky Harbor International,PHX,Phoenix,Maricopa,"21,351,504",,,,,,,,,,,,,,
AZ,Tucson International,TUS,Tucson,Pima,"1,549,253",,,,,,,,,,,,,,
AZ,Phoenix-Mesa Gateway,IWA,Mesa,Maricopa,"666,187",,,,,,,,,,,,,,
AZ,Grand Canyon National Park,GCN,Grand Canyon,Coconino,"332,050",,,,,,,,,,,,,,
AZ,Grand Canyon West,1G4,Peach Springs,Mohave,"147,137",,,,,,,,,,,,,,
AZ,Laughlin/Bullhead International,IFP,Bullhead City,Mohave,"108,888",,,,,,,,,,,,,,
AZ,Yuma MCAS/Yuma International,NYL,Yuma,Yuma,"79,233",,,,,,,,,,,,,,
AZ,Flagstaff Pulliam,FLG,Flagstaff,Coconino,"67,419",,,,,,,,,,,,,,
AZ,Page Municipal,PGA,Page,Coconino,"19,440",,,,,,,,,,,,,,
AZ,Ernest A Love Field,PRC,Prescott,Yavapai,"3,428",,,,,,,,,,,,,,
CA,Los Angeles International,LAX,Los Angeles,Los Angeles,"36,351,272",,,,,,,,,,,,,,
CA,San Francisco International,SFO,San Francisco International Airport,San Mateo,"24,190,560",,,,,,,,,,,,,,
CA,San Diego International,SAN,San Diego,San Diego,"9,985,763",,,,,,,,,,,,,,
CA,Metropolitan Oakland International,OAK,Oakland,Alameda,"5,506,687",,,,,,,,,,,,,,
CA,John Wayne Airport-Orange County,SNA,Santa Ana,Orange,"4,945,209",,,,,,,,,,,,,,
CA,Norman Y Mineta San Jose International,SJC,San Jose,Santa Clara,"4,822,480",,,,,,,,,,,,,,
CA,Sacramento International,SMF,Sacramento,Sacramento,"4,714,729",,,,,,,,,,,,,,
CA,Ontario International,ONT,Ontario,San Bernardino,"2,089,801",,,,,,,,,,,,,,
CA,Bob Hope,BUR,Burbank,Los Angeles,"1,973,897",,,,,,,,,,,,,,
CA,Long Beach /Daugherty Field/,LGB,Long Beach,Los Angeles,"1,220,937",,,,,,,,,,,,,,
CA,Palm Springs International,PSP,Palm Springs,Riverside,"947,728",,,,,,,,,,,,,,
CA,Fresno Yosemite International,FAT,Fresno,Fresno,"695,008",,,,,,,,,,,,,,
CA,Santa Barbara Municipal,SBA,Santa Barbara,Santa Barbara,"316,511",,,,,,,,,,,,,,
CA,Monterey Regional,MRY,Monterey,Monterey,"180,605",,,,,,,,,,,,,,
