geoid,total_votes,votes_gop,votes_dem
13225.0,12554,6506,5922
13227.0,17172,14110,2824
13229.0,9048,7898,1100
13231.0,10721,9127,1505
13233.0,17399,13587,3657
13235.0,4081,2815,1230
13237.0,11857,8291,3448
13239.0,1106,604,497
13241.0,9574,7474,1984
13243.0,3073,1390,1671
13245.0,87077,26780,59119
13247.0,44699,13014,31237
13249.0,2275,1800,462
13251.0,6629,3915,2661
13253.0,3888,2613,1256
13255.0,30219,18104,11828
13257.0,11885,9367,2386
13259.0,1990,801,1182
13261.0,12150,5733,6314
13263.0,3524,1392,2114
13265.0,928,360,561
13267.0,8187,6054,2062
13269.0,3842,2420,1388
13271.0,4335,2825,1488
13273.0,4416,2004,2376
13275.0,21877,12969,8708
13277.0,16280,10784,5318
13279.0,10914,7873,2938
13281.0,7979,6384,1550
13283.0,3077,2101,952
13285.0,30057,18142,11577
13287.0,3791,2349,1409
13289.0,4444,2370,2044
13291.0,15562,12650,2800
13293.0,12907,8606,4203
13295.0,29374,23173,5770
13297.0,51098,37839,12683
13299.0,14189,9903,4169
13301.0,2650,1166,1468
13303.0,9480,4668,4743
13305.0,12782,9987,2688
13307.0,1391,748,640
13309.0,2285,1583,689
13311.0,14831,12222,2411
13313.0,36766,25644,10680
13315.0,3279,2402,861
13317.0,5031,2823,2160
13319.0,4770,2665,2074
13321.0,9285,6830,2395
15001.0,87814,26897,58731
15003.0,382114,136259,238869
15007.0,33497,11582,21225
15009.0,71044,22126,47305
19001.0,4177,2917,1198
19003.0,2160,1530,590
19005.0,7422,4735,2576
19007.0,6516,4512,1891
19009.0,3420,2295,1071
19011.0,14642,9188,5160
19013.0,66593,29640,35647
19015.0,15340,8695,6303
19017.0,14546,8294,5958
19019.0,10774,6420,4169
19021.0,8167,5056,2961
19023.0,8098,5542,2424
19025.0,5258,3689,1470
19027.0,11335,7737,3454
19029.0,7276,4969,2201
19031.0,10703,6161,4337
19033.0,23801,12442,10941
19035.0,6518,4495,1936
19037.0,6631,4308,2233
19039.0,4670,3144,1466
19041.0,8969,6137,2662
19043.0,9594,6106,3340
19045.0,24687,13361,10812
19047.0,7154,4854,2220
19049.0,56022,27987,26879
19051.0,4102,3032,1013
19053.0,3804,2615,1120
19055.0,10003,6666,3157
19057.0,19956,10592,8893
19059.0,11244,7438,3661
19061.0,53926,27214,25657
19063.0,4853,3265,1520
19065.0,10186,6145,3835
19067.0,8032,4732,3172
19069.0,5130,3422,1626
19071.0,3857,2711,1080
19073.0,5057,3223,1769
19075.0,7276,4929,2206
19077.0,6371,4272,1985
19079.0,7943,4956,2843
19081.0,6172,4390,1683
19083.0,8989,5850,2976
19085.0,8155,5569,2440
19087.0,9982,6507,3275
19089.0,4958,3127,1772
19091.0,5327,3819,1442
19093.0,3849,2880,917
19095.0,9742,6009,3547
19097.0,11135,6940,4029
19099.0,20184,12084,7737
19101.0,8959,4443,4319
19103.0,83851,22925,59177
19105.0,10989,6572,4213
19107.0,5303,3797,1414
19109.0,9090,6275,2696
19111.0,16734,9773,6541
19113.0,127458,53364,70874
19115.0,5332,3500,1726
19117.0,4630,3287,1284
19119.0,6863,5707,1067
19121.0,9824,6507,3134
19123.0,11404,8297,2894
19125.0,19232,12663,6178
19127.0,18136,9571,8176
19129.0,8268,5585,2508
19131.0,5822,3677,2053
19133.0,4728,3248,1407
19135.0,4088,2975,1078
19137.0,5327,3659,1583
19139.0,20671,10823,9372
19141.0,7551,5861,1569
19143.0,3328,2690,601
19145.0,7528,5319,2086
19147.0,4958,3370,1519
19149.0,14188,10492,3494
19151.0,3823,2826,933
19153.0,258755,106800,146250
19155.0,45744,26247,18575
19157.0,10140,5657,4306
19159.0,2714,1968,709
19161.0,5535,4061,1389
19163.0,92599,43683,46926
19165.0,6795,4697,1959
19167.0,19051,15680,3019
19169.0,51038,20340,29175
19171.0,9048,5303,3577
19173.0,3249,2463,746
19175.0,6185,4010,2061
19177.0,3791,2859,875
19179.0,15633,9516,5821
19181.0,31039,17782,12574
19183.0,11765,6971,4561
19185.0,3109,2338,727
19187.0,17822,10938,6613
19189.0,5970,3707,2135
19191.0,12064,6235,5617
19193.0,45362,25736,18704
19195.0,4418,2738,1596
19197.0,6254,4136,1996
16001.0,259700,130699,120539
16003.0,2586,1941,591
16005.0,39587,23331,14682
16007.0,3316,2914,350
16009.0,4975,3878,977
16011.0,19996,15295,4124
16013.0,13289,4032,8919
16015.0,4822,3485,1204
16017.0,27352,18369,8310
16019.0,54034,37805,14254
16021.0,6317,4937,1220
16023.0,1415,1202,188
16025.0,754,507,149
16027.0,90457,61759,25881
16029.0,3416,2906,431
16031.0,9632,7907,1464
16033.0,311,264,41
16035.0,4419,3453,877
16037.0,2739,2089,603
16039.0,10213,7246,2601
16041.0,6664,5845,657
16043.0,6721,5548,998
16045.0,9960,7951,1803
16047.0,6052,4659,1256
16049.0,9610,7826,1561
16051.0,14180,12099,1661
16053.0,7815,5734,1893
16055.0,89511,62837,24312
16057.0,20610,9472,10236
16059.0,4739,3592,1032
16061.0,1870,1489,349
16063.0,1941,1469,414
16065.0,17137,13559,2666
16067.0,7993,6265,1550
16069.0,20985,13738,6686
16071.0,2452,2148,249
16073.0,4743,3819,816
16075.0,11293,8862,2161
16077.0,3076,2116,865
16079.0,6049,4216,1693
16081.0,6362,2858,3318
16083.0,36512,25897,9391
16085.0,7063,3947,2976
16087.0,5346,4154,1073
17001.0,33527,24220,8633
17003.0,2618,1486,1114
17005.0,8145,5625,2288
17007.0,24979,13883,10542
17009.0,2521,1931,486
17011.0,17434,10411,6669
17013.0,2772,2046,677
17015.0,8024,5105,2748
17017.0,5317,3625,1615
17019.0,95142,35285,57067
17021.0,16204,11563,4335
17023.0,8356,6226,1993
17025.0,6886,5629,1129
17027.0,19170,14304,4493
17029.0,22606,14037,8067
17031.0,2325405,558269,1725973
17033.0,9425,7043,2202
17035.0,5832,4601,1142
17037.0,47825,21905,24643
17039.0,8024,5632,2191
17041.0,8738,6227,2335
17043.0,485104,193611,281222
17045.0,8196,6193,1887
17047.0,3366,2833,488
17049.0,19049,15006,3716
17051.0,10056,8055,1826
17053.0,6953,5048,1754
17055.0,18626,13622,4760
17057.0,16678,9867,6503
17059.0,2674,2019,622
17061.0,6227,4770,1349
17063.0,26691,16523,9626
17065.0,4315,3432,824
17067.0,9383,6906,2315
17069.0,2162,1691,449
17071.0,3647,2394,1187
17073.0,25635,15300,9797
17075.0,14025,10877,2908
17077.0,22643,10890,11181
17079.0,5576,4494,1007
17081.0,17404,12476,4608
17083.0,11937,8712,2961
17085.0,12496,7166,5109
17087.0,6437,5059,1281
17089.0,231876,96775,130166
17091.0,49902,28532,20271
17093.0,63974,29492,33168
17095.0,23143,12009,10703
17099.0,53591,30113,22442
17097.0,334177,123594,204032
17101.0,6411,4886,1419
17103.0,16397,9630,6407
17105.0,17174,12208,4615
17107.0,13294,9136,3840
17115.0,49390,28589,19847
17117.0,24022,16153,7365
17119.0,137139,76031,57836
17121.0,17458,12678,4524
17123.0,6334,4197,2005
17125.0,6766,4654,1985
17127.0,6813,4997,1725
17109.0,12285,7027,4992
17111.0,163879,82260,78154
17113.0,87002,40502,43933
17129.0,6928,4764,2022
17131.0,8893,5418,3280
17133.0,21148,14142,6569
17135.0,13727,9544,3905
17137.0,15309,9950,5076
17139.0,6744,4964,1662
17141.0,26272,16248,9428
17143.0,83973,38252,43578
17145.0,10053,7313,2612
17147.0,9822,6248,3329
17149.0,7949,6332,1484
17151.0,2175,1722,433
17153.0,2624,1699,891
17155.0,3390,1993,1338
17157.0,14891,11076,3592
17159.0,8063,6089,1830
17161.0,66758,28603,36691
17165.0,11066,8103,2789
17167.0,104752,53485,48917
17169.0,3906,2773,1068
17171.0,2737,2114,572
17173.0,12097,9426,2504
